ui_texture_detail|Detaily textur:
ui_max_frame_rate|Max. poèet snímkù za sekundu:
ui_enable_bumpmap|Použít bump-mapping
ui_disable_blood|Nezobrazovat krev
ui_disable_music|Vypnout hudbu
ui_disable_sound|Vypnout zvuk
ui_enable_cheats|Povolit cheaty
ui_enable_edit_mode|Povolit editaèní režim (Pozor, zpomaluje hru.)
ui_enable_pixel_shaders|Používat pixelshadery
ui_enable_sound_variation|Povolit zvukové variace
ui_enable_vertex_shaders|Metoda renderu:
ui_shadow_quality|Kvalita stínování:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Zobrazit poèet snímkù za sekundu:
ui_start_windowed|Spustit v oknì
ui_trialmode_caption|Aktivace
ui_trialmode|Najdi si prosím chvilku na aktivaci Mount&&Blade Warband pomocí sériového èísla. Unikátní šestnácticiferné sériové èíslo máš v krabièce od hry. \nPokud si z nìjakého dùvodu nechceš hru aktivovat, mùžeš hrát ve zkušebním režimu, ale tvá postava pak nedosáhne vyšší úrovnì než 8.
ui_launch_buy|Kup si licenci od TaleWorlds.com
ui_launch_faq|Aktivace - odpovìdi na èasto kladené dotazy
ui_trialmode2|Pokud si chceš hru aktivovat teï...
ui_trialmode3|Nebo taky mùžeš...
ui_trialmode4|Pokud máš ohlednì zpùsobu aktivace nìjaké otázky, mùžeš si pøeèíst...
ui_serial_key_caption|Sériové èíslo
ui_notification_serial_input|Zadej níže uvedené sériové èíslo (mùžeš ho i zkopírovat a vložit) a klikni na tlaèítko 'aktivovat'.
ui_activate|Aktivovat
ui_paste|Vložit
ui_notification_serial_internet_connection|Pro aktivaci je potøeba funkèní pøipojení na internet!
ui_notification_serial_offline|Pokud tvùj poèítaè nemá pøipojení na internet, mùžeš použít také:
ui_manual_activation|Manuální aktivace
ui_offline_activation|Aktivace offline
ui_manual_activation_caption|Manuální aktivace
ui_offline_activation_caption|Aktivace offline
ui_cancel2|Zrušit
ui_close|Zavøít
ui_ok2|OK
